Time,SSC_50cm(kg/m3),depth
2014/9/25 15:16,0.1,2.07
2014/9/25 15:18,0.1,2.05
2014/9/25 15:20,0.1,2.03
2014/9/25 15:22,0.1,2.01
2014/9/25 15:24,0.09,2.01
2014/9/25 15:26,0.1,1.98
2014/9/25 15:28,0.1,1.96
2014/9/25 15:30,0.1,1.94
2014/9/25 15:32,0.11,1.92
2014/9/25 15:34,0.11,1.89
2014/9/25 15:36,0.11,1.88
2014/9/25 15:38,0.11,1.86
2014/9/25 15:40,0.1,1.84
2014/9/25 15:42,0.09,1.82
2014/9/25 15:44,0.11,1.81
2014/9/25 15:46,0.11,1.79
2014/9/25 15:48,0.11,1.76
2014/9/25 15:50,0.11,1.74
2014/9/25 15:52,0.11,1.72
2014/9/25 15:54,0.11,1.71
2014/9/25 15:56,0.11,1.7
2014/9/25 15:58,0.11,1.66
2014/9/25 16:00,0.11,1.64
2014/9/25 16:02,0.11,1.62
2014/9/25 16:04,0.11,1.62
2014/9/25 16:06,0.11,1.58
2014/9/25 16:08,0.11,1.57
2014/9/25 16:10,0.11,1.57
2014/9/25 16:12,0.11,1.54
2014/9/25 16:14,0.11,1.52
2014/9/25 16:16,0.11,1.5
2014/9/25 16:18,0.11,1.49
2014/9/25 16:20,0.1,1.46
2014/9/25 16:22,0.1,1.44
2014/9/25 16:24,0.1,1.44
2014/9/25 16:26,0.1,1.41
2014/9/25 16:28,0.1,1.38
2014/9/25 16:30,0.11,1.37
2014/9/25 16:32,0.1,1.36
2014/9/25 16:34,0.11,1.33
2014/9/25 16:36,0.11,1.3
2014/9/25 16:38,0.11,1.29
2014/9/25 16:40,0.1,1.28
2014/9/25 16:42,0.11,1.25
2014/9/25 16:44,0.11,1.23
2014/9/25 16:46,0.11,1.21
2014/9/25 16:48,0.11,1.19
2014/9/25 16:50,0.11,1.16
2014/9/25 16:52,0.1,1.15
2014/9/25 16:54,0.1,1.14
2014/9/25 16:56,0.11,1.11
2014/9/25 16:58,0.11,1.09
2014/9/25 17:00,0.11,1.07
2014/9/25 17:02,0.11,1.05
2014/9/25 17:04,0.11,1.03
2014/9/25 17:06,0.11,1.01
2014/9/25 17:08,0.11,0.98
2014/9/25 17:10,0.11,0.97
2014/9/25 17:12,0.11,0.95
2014/9/25 17:14,0.11,0.93
2014/9/25 17:16,0.11,0.91
2014/9/25 17:18,0.11,0.9
2014/9/25 17:20,0.11,0.89
2014/9/25 17:22,0.11,0.87
2014/9/25 17:24,0.11,0.84
2014/9/25 17:26,0.11,0.83
2014/9/25 17:28,0.11,0.82
2014/9/25 17:30,0.11,0.8
2014/9/25 17:32,0.11,0.79
2014/9/25 17:34,0.11,0.77
2014/9/25 17:36,0.11,0.75
2014/9/25 17:38,0.11,0.74
2014/9/25 17:40,0.12,0.72
2014/9/25 17:42,0.11,0.71
2014/9/25 17:44,0.11,0.7
2014/9/25 17:46,0.11,0.68
2014/9/25 17:48,0.11,0.66
2014/9/25 17:50,0.11,0.66
2014/9/25 17:52,0.11,0.65
2014/9/25 17:54,0.11,0.64
2014/9/25 17:56,0.11,0.63
2014/9/25 17:58,0.11,0.61
2014/9/25 18:00,0.11,0.61
2014/9/25 18:01,NAN,NAN
2014/9/25 21:56,0.27,0.66
2014/9/25 21:58,0.26,0.72
2014/9/25 22:00,0.27,0.78
2014/9/25 22:02,0.26,0.83
2014/9/25 22:04,0.24,0.9
2014/9/25 22:06,0.22,0.95
2014/9/25 22:08,0.24,1.01
2014/9/25 22:10,0.23,1.07
2014/9/25 22:12,0.23,1.12
2014/9/25 22:14,0.21,1.18
2014/9/25 22:16,0.2,1.23
2014/9/25 22:18,0.18,1.28
2014/9/25 22:20,0.16,1.34
2014/9/25 22:22,0.15,1.4
2014/9/25 22:24,0.13,1.44
2014/9/25 22:26,0.13,1.49
2014/9/25 22:28,0.13,1.54
2014/9/25 22:30,0.13,1.59
2014/9/25 22:32,0.13,1.63
2014/9/25 22:34,0.12,1.68
2014/9/25 22:36,0.14,1.72
2014/9/25 22:38,0.14,1.76
2014/9/25 22:40,0.15,1.8
2014/9/25 22:42,0.14,1.84
2014/9/25 22:44,0.14,1.88
2014/9/25 22:46,0.14,1.91
2014/9/25 22:48,0.15,1.94
2014/9/25 22:50,0.17,1.98
2014/9/25 22:52,0.18,2.02
2014/9/25 22:54,0.18,2.05
2014/9/25 22:56,0.18,2.07
2014/9/25 22:58,0.18,2.1
2014/9/25 23:00,0.16,2.14
2014/9/25 23:02,0.15,2.16
2014/9/25 23:04,0.16,2.19
2014/9/25 23:06,0.15,2.22
2014/9/25 23:08,0.15,2.25
2014/9/25 23:10,0.15,2.28
2014/9/25 23:12,0.16,2.3
2014/9/25 23:14,0.16,2.33
2014/9/25 23:16,0.16,2.36
